"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC080722CSc1","22/07/2008","Stenella coeruleoalba","Abruzzo","Teramo","","ND","140","","","Morto","No","Guardia Costiera","Vincenzo Perretti","ASL","42.65075","14.0408"
"CSC080722CTt1","22/07/2008","Tursiops truncatus","Abruzzo","Teramo","","F","270","","","Morto","No","Guardia Costiera","Daniele Palmerini","Guardia Costiera","42.58632","14.08877"
"CSC080722CTt2","22/07/2008","Tursiops truncatus","Abruzzo","Teramo","","M","210","","","Morto","No","Guardia Costiera","Daniele Palmerini","Guardia Costiera","42.60726","14.07058"
"CSC080717CGg1","17/07/2008","Grampus griseus","Campania","Napoli","","ND","286","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.60029","14.31667"
"CSC080710CSc2","10/07/2008","Stenella coeruleoalba","Campania","Napoli","","ND","188","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","40.66","14.41644"
"CSC080710CSc1","10/07/2008","Stenella coeruleoalba","Abruzzo","Chieti","","ND","","","","Morto","No","Guardia Costiera","Roberto Valente","ASL","42.17383","14.70427"
"CSC080706CND1","06/07/2008","Indeterminato","Campania","Salerno","","ND","150","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.65773","14.80067"
"CSC080625CND1","25/06/2008","Indeterminato","Campania","Salerno","","ND","100","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.60329","14.8629"
"CSC080608CND1","08/06/2008","Indeterminato","Campania","Salerno","","ND","","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.62415","14.47678"
"CSC080524CND1","24/05/2008","Indeterminato","Campania","Salerno","","ND","120","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.62742","14.48778"
"CSC080503CSc1","03/05/2008","Stenella coeruleoalba","Sicilia","Catania","","F","200","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","37.41785","15.09045"
"CSC080408CSc1","08/04/2008","Stenella coeruleoalba","Lazio","Roma","","ND","200","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","41.57266","12.51278"
"CSC080310CTt1","10/03/2008","Tursiops truncatus","Abruzzo","Chieti","","ND","200","","","Morto","No","Guardia Costiera","Roberto Valente","ASL","42.10149","14.72135"
"CSC080306CSc1","06/03/2008","Stenella coeruleoalba","Lazio","Roma","","ND","97","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","41.48615","12.59028"
