"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC070529TCc1","29/05/2007","Caretta caretta","Friuli","Gorizia","","ND","50","","","Morto","ND","Guardia Costiera","Non disponibile","Centro Studi Cetacei","45.77596","13.53155"
"CSC070526TCc1","26/05/2007","Caretta caretta","Puglia","Taranto","","F","","","","Morto","ND","ASL","Dr. Giannico","ASL","40.39567","17.25168"
"CSC070524TCc1","24/05/2007","Caretta caretta","Emilia Romagna","Ferrara","","ND","40","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.74476","12.24559"
"CSC070523TCc1","23/05/2007","Caretta caretta","Emilia Romagna","Ravenna","","ND","60","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.93527","13.035"
"CSC070522TCc1","22/05/2007","Caretta caretta","Emilia Romagna","Ferrara","","ND","60","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.67634","12.24826"
"CSC070521TCc1","21/05/2007","Caretta caretta","Sardegna","Cagliari","","ND","","","","Morto","ND","Corpo Forestale dello Stato","Non disponibile","Centro Studi Cetacei","39.20034","9.08642"
"CSC070520TCc1","20/05/2007","Caretta caretta","Emilia Romagna","Ferrara","","ND","65","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.74131","12.24469"
"CSC070519TCc1","19/05/2007","Caretta caretta","Emilia Romagna","Ferrara","","ND","","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.71586","12.24136"
"CSC070519TCc3","19/05/2007","Caretta caretta","Emilia Romagna","Ferrara","","ND","","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.69891","12.24045"
"CSC070519TCc2","19/05/2007","Caretta caretta","Emilia Romagna","Ferrara","","ND","45","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.70649","12.24052"
"CSC070518TCc1","18/05/2007","Caretta caretta","Emilia Romagna","Ravenna","","ND","","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.55172","12.28333"
"CSC070518TCc2","18/05/2007","Caretta caretta","Emilia Romagna","Ravenna","","ND","","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.44038","12.29854"
"CSC070517TCc1","17/05/2007","Caretta caretta","Friuli","Gorizia","","ND","50","","","Morto","ND","Guardia Costiera","Non disponibile","Centro Studi Cetacei","45.78687","13.54651"
"CSC070517TCc2","17/05/2007","Caretta caretta","Campania","Salerno","","ND","100","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.67203","14.77509"
"CSC070513TCc1","13/05/2007","Caretta caretta","Friuli","Gorizia","","ND","60","","","Morto","ND","Guardia Costiera","Non disponibile","Centro Studi Cetacei","45.68277","13.48277"
"CSC070510TCc1","10/05/2007","Caretta caretta","Puglia","Lecce","","ND","76","","","Vivo","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.25182","17.87646"
"CSC070504TCc1","04/05/2007","Caretta caretta","Sardegna","Cagliari","","ND","","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","38.92909","8.92645"
"CSC070425TCc1","25/04/2007","Caretta caretta","Puglia","Taranto","","ND","","","","Morto","ND","Guardia Costiera","Dr.Tarquinio","ASL","40.41597","16.88265"
"CSC070424TCc2","24/04/2007","Caretta caretta","Abruzzo","Teramo","","ND","28","","","Morto","ND","Guardia Costiera","Non disponibile","Centro Studi Cetacei","42.75299","13.97723"
"CSC070424TCc1","24/04/2007","Caretta caretta","Abruzzo","Teramo","","ND","21","","","Morto","ND","Guardia Costiera","Dr Olivieri","ASL","42.74719","13.97522"
"CSC070423TCc1","23/04/2007","Caretta caretta","Emilia Romagna","Forl-Cesena","","ND","100","","","Morto","ND","Vigili del fuoco","Non disponibile","Non disponibile","44.19109","12.41701"
"CSC070417TCc1","17/04/2007","Caretta caretta","Emilia Romagna","Ravenna","","ND","85","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.27947","12.35381"
"CSC070416TCc2","16/04/2007","Caretta caretta","Marche","Ascoli Piceno","","ND","55","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","42.94758","13.88857"
"CSC070416TCc1","16/04/2007","Caretta caretta","Marche","Ascoli Piceno","","ND","","","","Morto","ND","ASL","Dr. Folaschetti","ASL","42.94529","13.88916"
"CSC070413TCc1","13/04/2007","Caretta caretta","Abruzzo","Teramo","","ND","30","","","Morto","ND","Guardia Costiera","Non disponibile","ASL","42.57921","14.09574"
"CSC070401TCc1","01/04/2007","Caretta caretta","Sardegna","Nuoro","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Guardia Costiera","39.94303","9.74032"
"CSC070331TCc1","31/03/2007","Caretta caretta","Puglia","Taranto","","ND","","","","Morto","ND","ASL","Dr.Maraglino","ASL","40.39566","17.25258"
"CSC070329TCc1","29/03/2007","Caretta caretta","Emilia Romagna","Rimini","","ND","50","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","43.97197","12.72332"
"CSC070324TCc2","24/03/2007","Caretta caretta","Puglia","Taranto","","ND","","","","Morto","ND","ASL","Dr. Fella","ASL","40.295","17.52492"
"CSC070324TCc1","24/03/2007","Caretta caretta","Puglia","Taranto","","ND","","","","Morto","ND","Guardia Costiera","Saverio Fella","ASL","40.299","17.73574"
"CSC070322TCc1","22/03/2007","Caretta caretta","Emilia Romagna","Ravenna","","ND","55","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.27075","12.35684"
"CSC070321TCc1","21/03/2007","Caretta caretta","Puglia","Taranto","","ND","111","","","Morto","ND","ASL","Dr. Carone","ASL","40.29573","17.75121"
