codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC051213TCc1,2005-12-13,Emilia Romagna,Ravenna,,Caretta caretta,1,ND,60.0,TOT,Morto,,,ND,Guardia Costiera,Lino Montuori,Guardia Costiera,12.35397,44.27906
CSC051210TCc1,2005-12-10,Emilia Romagna,Ravenna,,Caretta caretta,1,F,110.0,TOT,Morto,,,ND,Guardia Costiera,Lino Montuori,Guardia Costiera,12.35258,44.28296
CSC051124TCc1,2005-11-24,Abruzzo,Pescara,,Caretta caretta,1,ND,79.0,TOT,Morto,,,ND,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,14.16795,42.51162
CSC051124TCc2,2005-11-24,Abruzzo,Chieti,,Caretta caretta,1,F,92.0,TOT,Morto,,,ND,Corpo Forestale dello Stato,Vincenzo Olivieri,Centro Studi Cetacei,14.33924,42.39562
CSC051123TCc1,2005-11-23,Puglia,Taranto,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Giuseppe Maraglino,ASL,17.20586,40.41665
CSC051122TCc2,2005-11-22,Emilia Romagna,Ravenna,,Caretta caretta,1,ND,40.0,TOT,Morto,,,ND,Guardia Costiera,Adriano Carassai,Guardia Costiera,12.28702,44.47532
CSC051122TCc1,2005-11-22,Abruzzo,Pescara,,Caretta caretta,1,F,96.0,TOT,Morto,,,ND,Corpo Forestale dello Stato,Vincenzo Olivieri,Centro Studi Cetacei,14.18498,42.49477
CSC051115TCc1,2005-11-15,Emilia Romagna,Ferrara,,Caretta caretta,1,ND,50.0,TOT,Vivo,,,ND,Guardia Costiera,Claudio Di Massimo,Guardia Costiera,12.29651,44.67727
CSC051107TCc1,2005-11-07,Emilia Romagna,Ravenna,,Caretta caretta,1,ND,80.0,TOT,Morto,KA267,,ND,Guardia Costiera,Pasquale Berritto,Guardia Costiera,12.29809,44.44178
CSC051105TCc1,2005-11-05,Emilia Romagna,Ravenna,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Lino Montuori,Guardia Costiera,12.35314,44.28196
CSC051104TCc1,2005-11-04,Emilia Romagna,Ravenna,,Caretta caretta,1,ND,60.0,TOT,Morto,,,ND,Guardia Costiera,Marco Drepaldi,Guardia Costiera,12.28687,44.47947
